;NDX Index;;MXIM UW Equity;;DISH UW Equity;;AMZN UW Equity;;CSCO UW Equity;;INTC UW Equity;;MSFT UW Equity;;EBAY UW Equity;;ADBE UW Equity;;AMGN UW Equity;;AAPL UW Equity;;CTAS UW Equity;;CMCSA UW Equity;;KLAC UW Equity;;PCAR UW Equity;;COST UW Equity;;AMAT UW Equity;;EA UW Equity;;FI UW Equity;;BIIB UW Equity;;PAYX UW Equity;;QCOM UW Equity;;SBUX UW Equity;;XLNX UW Equity;;INTU UW Equity;;MCHP UW Equity;;CHKP UW Equity;;CTXS UW Equity
23/09/2014;4051,57;30/09/2015;33,40;23/09/2014;62,75;23/09/2014;16,18;23/09/2014;24,70;23/09/2014;34,42;23/09/2014;46,56;23/09/2014;22,20;23/09/2014;67,79;23/09/2014;140,68;23/09/2014;25,66;23/09/2014;16,61;23/09/2014;27,49;23/09/2014;80,00;23/09/2014;38,97;23/09/2014;125,51;23/09/2014;21,63;23/09/2014;36,67;23/09/2014;32,24;25/09/2014;307,10;23/09/2014;42,41;23/09/2014;75,83;23/09/2014;36,98;23/09/2014;43,23;23/09/2014;85,42;23/09/2014;23,75;23/09/2014;69,43;23/09/2014;56,19
24/09/2014;4094,31;01/10/2015;32,67;24/09/2014;63,72;24/09/2014;16,41;24/09/2014;24,98;24/09/2014;34,75;24/09/2014;47,08;24/09/2014;22,28;24/09/2014;69,03;24/09/2014;142,24;24/09/2014;25,44;24/09/2014;16,73;24/09/2014;27,43;24/09/2014;80,52;24/09/2014;39,09;24/09/2014;127,62;24/09/2014;21,96;24/09/2014;36,87;24/09/2014;32,74;26/09/2014;307,22;24/09/2014;43,88;24/09/2014;76,24;24/09/2014;37,66;24/09/2014;43,82;24/09/2014;86,69;24/09/2014;23,89;24/09/2014;70,53;24/09/2014;57,00
25/09/2014;4007,82;02/10/2015;33,29;25/09/2014;63,22;25/09/2014;16,10;25/09/2014;24,54;25/09/2014;34,14;25/09/2014;46,04;25/09/2014;21,95;25/09/2014;67,71;25/09/2014;139,85;25/09/2014;24,47;25/09/2014;16,50;25/09/2014;26,97;25/09/2014;79,53;25/09/2014;38,49;25/09/2014;125,66;25/09/2014;21,51;25/09/2014;35,82;25/09/2014;32,01;29/09/2014;304,11;25/09/2014;43,68;25/09/2014;74,81;25/09/2014;37,06;25/09/2014;42,78;25/09/2014;84,85;25/09/2014;23,68;25/09/2014;69,49;25/09/2014;55,86
26/09/2014;4053,72;05/10/2015;34,08;26/09/2014;64,66;26/09/2014;16,16;26/09/2014;25,00;26/09/2014;34,26;26/09/2014;46,41;26/09/2014;22,28;26/09/2014;68,36;26/09/2014;141,06;26/09/2014;25,19;26/09/2014;16,57;26/09/2014;27,12;26/09/2014;80,06;26/09/2014;38,38;26/09/2014;125,54;26/09/2014;21,74;26/09/2014;35,96;26/09/2014;32,18;30/09/2014;304,71;26/09/2014;44,00;26/09/2014;75,06;26/09/2014;37,59;26/09/2014;43,17;26/09/2014;86,05;26/09/2014;23,80;26/09/2014;69,76;26/09/2014;56,15
29/09/2014;4047,18;06/10/2015;34,27;29/09/2014;64,75;29/09/2014;16,09;29/09/2014;25,12;29/09/2014;34,90;29/09/2014;46,44;29/09/2014;22,16;29/09/2014;69,22;29/09/2014;140,07;29/09/2014;25,03;29/09/2014;16,49;29/09/2014;27,08;29/09/2014;79,85;29/09/2014;38,13;29/09/2014;125,32;29/09/2014;21,75;29/09/2014;35,78;29/09/2014;32,26;01/10/2014;297,98;29/09/2014;44,23;29/09/2014;74,82;29/09/2014;37,64;29/09/2014;42,99;29/09/2014;87,78;29/09/2014;23,76;29/09/2014;69,26;29/09/2014;56,54
30/09/2014;4049,45;07/10/2015;34,81;30/09/2014;64,32;30/09/2014;16,12;30/09/2014;25,17;30/09/2014;34,82;30/09/2014;46,36;30/09/2014;23,83;30/09/2014;69,19;30/09/2014;140,46;30/09/2014;25,19;30/09/2014;17,65;30/09/2014;26,89;30/09/2014;78,78;30/09/2014;37,92;30/09/2014;125,32;30/09/2014;21,61;30/09/2014;35,61;30/09/2014;32,32;02/10/2014;294,61;30/09/2014;44,20;30/09/2014;74,77;30/09/2014;37,73;30/09/2014;42,35;30/09/2014;87,65;30/09/2014;23,62;30/09/2014;69,24;30/09/2014;56,81
01/10/2014;3984,74;08/10/2015;35,31;01/10/2014;63,35;01/10/2014;15,87;01/10/2014;25,03;01/10/2014;33,99;01/10/2014;45,90;01/10/2014;23,34;01/10/2014;67,54;01/10/2014;138,82;01/10/2014;24,80;01/10/2014;17,16;01/10/2014;26,47;01/10/2014;76,54;01/10/2014;37,47;01/10/2014;124,76;01/10/2014;20,96;01/10/2014;35,14;01/10/2014;32,16;03/10/2014;301,28;01/10/2014;43,48;01/10/2014;73,88;01/10/2014;37,31;01/10/2014;41,81;01/10/2014;85,72;01/10/2014;23,04;01/10/2014;67,94;01/10/2014;54,80
02/10/2014;3985,87;09/10/2015;34,74;02/10/2014;63,33;02/10/2014;15,92;02/10/2014;25,06;02/10/2014;33,52;02/10/2014;45,76;02/10/2014;23,09;02/10/2014;67,06;02/10/2014;137,20;02/10/2014;24,98;02/10/2014;17,07;02/10/2014;26,42;02/10/2014;76,65;02/10/2014;38,04;02/10/2014;125,79;02/10/2014;20,53;02/10/2014;35,59;02/10/2014;32,18;06/10/2014;299,42;02/10/2014;43,31;02/10/2014;73,66;02/10/2014;37,23;02/10/2014;41,42;02/10/2014;84,52;02/10/2014;23,14;02/10/2014;68,66;02/10/2014;54,90
03/10/2014;4027,31;12/10/2015;34,86;03/10/2014;64,90;03/10/2014;16,14;03/10/2014;25,31;03/10/2014;34,03;03/10/2014;46,09;03/10/2014;22,91;03/10/2014;68,40;03/10/2014;139,15;03/10/2014;24,91;03/10/2014;17,59;03/10/2014;26,83;03/10/2014;76,25;03/10/2014;38,61;03/10/2014;127,09;03/10/2014;20,74;03/10/2014;35,95;03/10/2014;32,57;07/10/2014;290,99;03/10/2014;44,32;03/10/2014;74,86;03/10/2014;37,95;03/10/2014;41,13;03/10/2014;85,26;03/10/2014;23,07;03/10/2014;70,00;03/10/2014;55,42
06/10/2014;4016,27;13/10/2015;34,71;06/10/2014;64,39;06/10/2014;16,11;06/10/2014;25,01;06/10/2014;34,11;06/10/2014;46,09;06/10/2014;22,54;06/10/2014;67,67;06/10/2014;137,61;06/10/2014;24,91;06/10/2014;17,48;06/10/2014;26,70;06/10/2014;76,00;06/10/2014;38,87;06/10/2014;126,21;06/10/2014;20,60;06/10/2014;36,00;06/10/2014;32,25;08/10/2014;298,98;06/10/2014;44,68;06/10/2014;74,73;06/10/2014;37,57;06/10/2014;41,17;06/10/2014;84,66;06/10/2014;22,99;06/10/2014;69,81;06/10/2014;54,78
07/10/2014;3958,59;14/10/2015;38,33;07/10/2014;63,46;07/10/2014;15,85;07/10/2014;24,64;07/10/2014;33,47;07/10/2014;45,53;07/10/2014;22,29;07/10/2014;65,96;07/10/2014;136,03;07/10/2014;24,69;07/10/2014;17,18;07/10/2014;26,61;07/10/2014;75,51;07/10/2014;37,85;07/10/2014;125,27;07/10/2014;20,37;07/10/2014;34,92;07/10/2014;31,60;09/10/2014;294,01;07/10/2014;43,88;07/10/2014;73,51;07/10/2014;37,03;07/10/2014;40,56;07/10/2014;82,47;07/10/2014;22,46;07/10/2014;69,40;07/10/2014;53,77
08/10/2014;4041,12;15/10/2015;38,92;08/10/2014;63,96;08/10/2014;16,14;08/10/2014;24,66;08/10/2014;34,27;08/10/2014;46,78;08/10/2014;22,94;08/10/2014;67,99;08/10/2014;140,07;08/10/2014;25,20;08/10/2014;17,75;08/10/2014;27,39;08/10/2014;75,84;08/10/2014;39,17;08/10/2014;128,73;08/10/2014;21,15;08/10/2014;35,28;08/10/2014;32,40;10/10/2014;290,28;08/10/2014;44,34;08/10/2014;75,19;08/10/2014;37,63;08/10/2014;41,49;08/10/2014;83,80;08/10/2014;23,10;08/10/2014;70,26;08/10/2014;54,27
09/10/2014;3969,32;16/10/2015;39,74;09/10/2014;63,20;09/10/2014;15,77;09/10/2014;24,19;09/10/2014;33,62;09/10/2014;45,85;09/10/2014;22,25;09/10/2014;65,66;09/10/2014;137,58;09/10/2014;25,26;09/10/2014;17,37;09/10/2014;26,66;09/10/2014;73,65;09/10/2014;38,27;09/10/2014;128,41;09/10/2014;20,87;09/10/2014;35,01;09/10/2014;31,84;13/10/2014;277,93;09/10/2014;43,83;09/10/2014;74,08;09/10/2014;37,24;09/10/2014;40,19;09/10/2014;81,81;09/10/2014;22,77;09/10/2014;68,79;09/10/2014;53,57
10/10/2014;3870,86;19/10/2015;39,63;10/10/2014;61,38;10/10/2014;15,57;10/10/2014;23,34;10/10/2014;31,91;10/10/2014;44,03;10/10/2014;21,83;10/10/2014;63,29;10/10/2014;137,39;10/10/2014;25,18;10/10/2014;17,14;10/10/2014;26,31;10/10/2014;68,07;10/10/2014;37,65;10/10/2014;128,90;10/10/2014;19,83;10/10/2014;34,53;10/10/2014;31,46;14/10/2014;277,79;10/10/2014;43,41;10/10/2014;71,22;10/10/2014;37,23;10/10/2014;36,83;10/10/2014;80,17;10/10/2014;19,98;10/10/2014;66,27;10/10/2014;52,28
13/10/2014;3808,00;20/10/2015;39,54;13/10/2014;59,37;13/10/2014;15,32;13/10/2014;22,93;13/10/2014;31,47;13/10/2014;43,65;13/10/2014;21,24;13/10/2014;61,68;13/10/2014;133,56;13/10/2014;24,95;13/10/2014;16,86;13/10/2014;25,82;13/10/2014;65,61;13/10/2014;37,06;13/10/2014;126,97;13/10/2014;18,92;13/10/2014;33,23;13/10/2014;31,18;15/10/2014;281,57;13/10/2014;43,28;13/10/2014;70,71;13/10/2014;36,10;13/10/2014;36,27;13/10/2014;79,68;13/10/2014;19,35;13/10/2014;66,40;13/10/2014;51,54
14/10/2014;3810,45;21/10/2015;39,44;14/10/2014;58,63;14/10/2014;15,42;14/10/2014;23,06;14/10/2014;32,14;14/10/2014;43,73;14/10/2014;21,29;14/10/2014;60,88;14/10/2014;132,20;14/10/2014;24,69;14/10/2014;16,94;14/10/2014;25,74;14/10/2014;66,42;14/10/2014;38,05;14/10/2014;126,25;14/10/2014;19,34;14/10/2014;32,74;14/10/2014;31,49;16/10/2014;278,85;14/10/2014;43,54;14/10/2014;71,86;14/10/2014;36,37;14/10/2014;36,90;14/10/2014;79,39;14/10/2014;19,11;14/10/2014;66,49;14/10/2014;51,71
15/10/2014;3785,97;22/10/2015;39,12;15/10/2014;58,63;15/10/2014;15,30;15/10/2014;22,96;15/10/2014;31,28;15/10/2014;43,22;15/10/2014;21,14;15/10/2014;62,19;15/10/2014;130,90;15/10/2014;24,39;15/10/2014;17,02;15/10/2014;25,43;15/10/2014;67,46;15/10/2014;38,05;15/10/2014;124,30;15/10/2014;19,43;15/10/2014;33,38;15/10/2014;30,87;17/10/2014;282,51;15/10/2014;43,05;15/10/2014;71,20;15/10/2014;36,19;15/10/2014;37,58;15/10/2014;79,50;15/10/2014;18,87;15/10/2014;67,03;15/10/2014;51,71
16/10/2014;3765,28;23/10/2015;37,95;16/10/2014;57,73;16/10/2014;15,14;16/10/2014;22,82;16/10/2014;30,85;16/10/2014;42,74;16/10/2014;20,15;16/10/2014;62,86;16/10/2014;130,45;16/10/2014;24,07;16/10/2014;17,11;16/10/2014;24,80;16/10/2014;68,23;16/10/2014;38,70;16/10/2014;122,95;16/10/2014;19,87;16/10/2014;32,62;16/10/2014;30,86;20/10/2014;286,84;16/10/2014;43,09;16/10/2014;71,14;16/10/2014;36,32;16/10/2014;38,49;16/10/2014;78,64;16/10/2014;19,60;16/10/2014;67,00;16/10/2014;50,97
17/10/2014;3815,47;26/10/2015;38,15;17/10/2014;58,30;17/10/2014;15,18;17/10/2014;23,25;17/10/2014;31,38;17/10/2014;43,63;17/10/2014;20,18;17/10/2014;64,52;17/10/2014;133,69;17/10/2014;24,42;17/10/2014;17,32;17/10/2014;25,34;17/10/2014;68,44;17/10/2014;38,93;17/10/2014;124,65;17/10/2014;19,88;17/10/2014;34,28;17/10/2014;31,39;21/10/2014;300,99;17/10/2014;43,50;17/10/2014;72,43;17/10/2014;36,77;17/10/2014;41,05;17/10/2014;81,03;17/10/2014;19,20;17/10/2014;68,02;17/10/2014;51,39
20/10/2014;3870,08;27/10/2015;38,45;20/10/2014;58,47;20/10/2014;15,31;20/10/2014;22,93;20/10/2014;31,58;20/10/2014;44,08;20/10/2014;20,71;20/10/2014;64,68;20/10/2014;137,51;20/10/2014;24,94;20/10/2014;17,26;20/10/2014;25,65;20/10/2014;69,56;20/10/2014;38,61;20/10/2014;128,42;20/10/2014;20,07;20/10/2014;34,93;20/10/2014;31,46;22/10/2014;284,69;20/10/2014;43,75;20/10/2014;73,27;20/10/2014;37,35;20/10/2014;41,66;20/10/2014;81,04;20/10/2014;19,56;20/10/2014;68,35;20/10/2014;51,90
21/10/2014;3971,39;28/10/2015;42,01;21/10/2014;60,42;21/10/2014;15,77;21/10/2014;23,51;21/10/2014;32,61;21/10/2014;44,88;21/10/2014;21,41;21/10/2014;66,43;21/10/2014;144,09;21/10/2014;25,62;21/10/2014;17,79;21/10/2014;26,10;21/10/2014;71,38;21/10/2014;39,60;21/10/2014;130,28;21/10/2014;20,78;21/10/2014;35,69;21/10/2014;32,28;23/10/2014;291,12;21/10/2014;44,68;21/10/2014;75,00;21/10/2014;37,18;21/10/2014;43,21;21/10/2014;83,37;21/10/2014;20,30;21/10/2014;68,63;21/10/2014;52,56
22/10/2014;3949,59;29/10/2015;40,79;22/10/2014;59,49;22/10/2014;15,65;22/10/2014;23,26;22/10/2014;32,27;22/10/2014;44,38;22/10/2014;21,10;22/10/2014;65,04;22/10/2014;143,64;22/10/2014;25,75;22/10/2014;17,59;22/10/2014;25,75;22/10/2014;70,30;22/10/2014;39,57;22/10/2014;130,54;22/10/2014;20,49;22/10/2014;35,05;22/10/2014;32,09;24/10/2014;296,29;22/10/2014;44,71;22/10/2014;74,30;22/10/2014;37,30;22/10/2014;41,72;22/10/2014;81,96;22/10/2014;19,99;22/10/2014;67,38;22/10/2014;51,58
23/10/2014;4012,27;30/10/2015;40,98;23/10/2014;60,76;23/10/2014;15,66;23/10/2014;23,57;23/10/2014;32,69;23/10/2014;45,02;23/10/2014;21,38;23/10/2014;65,92;23/10/2014;147,25;23/10/2014;26,21;23/10/2014;17,76;23/10/2014;26,61;23/10/2014;71,00;23/10/2014;40,39;23/10/2014;130,59;23/10/2014;20,90;23/10/2014;36,24;23/10/2014;32,55;27/10/2014;294,73;23/10/2014;45,01;23/10/2014;75,14;23/10/2014;37,42;23/10/2014;42,54;23/10/2014;83,53;23/10/2014;20,17;23/10/2014;71,00;23/10/2014;49,24
24/10/2014;4042,02;02/11/2015;41,32;24/10/2014;61,95;24/10/2014;14,35;24/10/2014;23,78;24/10/2014;33,18;24/10/2014;46,13;24/10/2014;21,52;24/10/2014;67,01;24/10/2014;147,26;24/10/2014;26,31;24/10/2014;17,81;24/10/2014;27,13;24/10/2014;75,90;24/10/2014;40,93;24/10/2014;130,44;24/10/2014;20,99;24/10/2014;36,35;24/10/2014;33,02;28/10/2014;292,94;24/10/2014;45,49;24/10/2014;76,00;24/10/2014;37,91;24/10/2014;43,20;24/10/2014;84,96;24/10/2014;20,52;24/10/2014;72,70;24/10/2014;50,64
27/10/2014;4046,02;03/11/2015;41,22;27/10/2014;61,11;27/10/2014;14,50;27/10/2014;23,76;27/10/2014;33,20;27/10/2014;45,91;27/10/2014;21,54;27/10/2014;67,03;27/10/2014;148,20;27/10/2014;26,28;27/10/2014;17,82;27/10/2014;27,03;27/10/2014;75,06;27/10/2014;40,86;27/10/2014;130,92;27/10/2014;21,04;27/10/2014;36,87;27/10/2014;33,06;29/10/2014;290,20;27/10/2014;45,77;27/10/2014;75,84;27/10/2014;37,99;27/10/2014;43,12;27/10/2014;85,01;27/10/2014;20,59;27/10/2014;72,84;27/10/2014;50,40
28/10/2014;4106,63;04/11/2015;41,07;28/10/2014;61,19;28/10/2014;14,78;28/10/2014;24,07;28/10/2014;33,74;28/10/2014;46,49;28/10/2014;21,55;28/10/2014;68,37;28/10/2014;157,19;28/10/2014;26,69;28/10/2014;17,95;28/10/2014;27,37;28/10/2014;76,10;28/10/2014;41,97;28/10/2014;131,06;28/10/2014;21,25;28/10/2014;37,48;28/10/2014;33,63;30/10/2014;295,67;28/10/2014;46,00;28/10/2014;76,57;28/10/2014;38,53;28/10/2014;43,29;28/10/2014;86,33;28/10/2014;20,94;28/10/2014;73,47;28/10/2014;51,03
29/10/2014;4090,55;05/11/2015;40,71;29/10/2014;61,70;29/10/2014;14,71;29/10/2014;24,10;29/10/2014;33,92;29/10/2014;46,62;29/10/2014;21,60;29/10/2014;67,93;29/10/2014;158,88;29/10/2014;26,84;29/10/2014;17,95;29/10/2014;27,45;29/10/2014;76,30;29/10/2014;42,23;29/10/2014;131,93;29/10/2014;21,48;29/10/2014;38,91;29/10/2014;33,85;31/10/2014;295,75;29/10/2014;46,00;29/10/2014;76,89;29/10/2014;38,27;29/10/2014;43,60;29/10/2014;85,88;29/10/2014;21,11;29/10/2014;73,59;29/10/2014;50,20
30/10/2014;4100,64;06/11/2015;40,56;30/10/2014;62,04;30/10/2014;14,95;30/10/2014;24,08;30/10/2014;32,58;30/10/2014;46,05;30/10/2014;21,70;30/10/2014;68,57;30/10/2014;161,58;30/10/2014;26,75;30/10/2014;18,17;30/10/2014;27,18;30/10/2014;76,36;30/10/2014;42,57;30/10/2014;133,00;30/10/2014;21,34;30/10/2014;39,85;30/10/2014;34,29;03/11/2014;295,90;30/10/2014;46,15;30/10/2014;77,37;30/10/2014;38,66;30/10/2014;43,22;30/10/2014;86,83;30/10/2014;20,55;30/10/2014;73,91;30/10/2014;50,75
31/10/2014;4158,21;09/11/2015;40,02;31/10/2014;63,40;31/10/2014;15,27;31/10/2014;24,47;31/10/2014;34,01;31/10/2014;46,95;31/10/2014;22,10;31/10/2014;70,12;31/10/2014;162,18;31/10/2014;27,00;31/10/2014;18,31;31/10/2014;27,68;31/10/2014;79,15;31/10/2014;43,55;31/10/2014;133,37;31/10/2014;22,09;31/10/2014;40,97;31/10/2014;34,74;04/11/2014;296,65;31/10/2014;46,94;31/10/2014;78,51;31/10/2014;37,78;31/10/2014;44,48;31/10/2014;88,01;31/10/2014;21,56;31/10/2014;74,25;31/10/2014;51,15
03/11/2014;4169,28;10/11/2015;39,50;03/11/2014;63,56;03/11/2014;15,29;03/11/2014;24,58;03/11/2014;34,31;03/11/2014;47,44;03/11/2014;22,18;03/11/2014;69,91;03/11/2014;161,56;03/11/2014;27,35;03/11/2014;18,14;03/11/2014;27,80;03/11/2014;79,95;03/11/2014;43,59;03/11/2014;134,27;03/11/2014;22,21;03/11/2014;40,96;03/11/2014;34,84;05/11/2014;294,34;03/11/2014;47,06;03/11/2014;78,24;03/11/2014;38,05;03/11/2014;44,22;03/11/2014;88,34;03/11/2014;21,61;03/11/2014;73,70;03/11/2014;51,29
04/11/2014;4156,23;11/11/2015;39,63;04/11/2014;63,01;04/11/2014;15,14;04/11/2014;24,88;04/11/2014;34,54;04/11/2014;47,57;04/11/2014;22,42;04/11/2014;71,07;04/11/2014;160,41;04/11/2014;27,15;04/11/2014;17,86;04/11/2014;27,32;04/11/2014;80,03;04/11/2014;43,59;04/11/2014;136,55;04/11/2014;22,08;04/11/2014;40,64;04/11/2014;34,58;06/11/2014;297,95;04/11/2014;47,25;04/11/2014;77,11;04/11/2014;38,36;04/11/2014;43,77;04/11/2014;88,45;04/11/2014;21,44;04/11/2014;73,84;04/11/2014;51,50
05/11/2014;4153,27;12/11/2015;39,33;05/11/2014;62,80;05/11/2014;14,83;05/11/2014;25,15;05/11/2014;33,76;05/11/2014;47,86;05/11/2014;22,55;05/11/2014;71,37;05/11/2014;158,94;05/11/2014;27,22;05/11/2014;17,60;05/11/2014;27,55;05/11/2014;81,28;05/11/2014;43,97;05/11/2014;136,50;05/11/2014;22,61;05/11/2014;40,73;05/11/2014;34,94;07/11/2014;295,44;05/11/2014;47,77;05/11/2014;77,20;05/11/2014;38,33;05/11/2014;44,19;05/11/2014;88,73;05/11/2014;21,79;05/11/2014;73,89;05/11/2014;51,29
06/11/2014;4164,08;13/11/2015;38,83;06/11/2014;63,41;06/11/2014;14,83;06/11/2014;25,26;06/11/2014;33,82;06/11/2014;48,70;06/11/2014;22,42;06/11/2014;72,10;06/11/2014;160,35;06/11/2014;27,18;06/11/2014;17,77;06/11/2014;27,69;06/11/2014;80,83;06/11/2014;44,38;06/11/2014;137,09;06/11/2014;22,59;06/11/2014;40,80;06/11/2014;34,99;10/11/2014;302,00;06/11/2014;47,57;06/11/2014;70,58;06/11/2014;38,73;06/11/2014;44,00;06/11/2014;89,13;06/11/2014;21,76;06/11/2014;74,51;06/11/2014;52,55
07/11/2014;4160,50;16/11/2015;39,15;07/11/2014;63,45;07/11/2014;14,99;07/11/2014;25,33;07/11/2014;33,58;07/11/2014;48,68;07/11/2014;22,52;07/11/2014;71,60;07/11/2014;160,25;07/11/2014;27,25;07/11/2014;17,75;07/11/2014;27,58;07/11/2014;80,00;07/11/2014;44,63;07/11/2014;137,71;07/11/2014;22,43;07/11/2014;40,94;07/11/2014;34,73;11/11/2014;298,98;07/11/2014;47,33;07/11/2014;69,26;07/11/2014;38,90;07/11/2014;43,61;07/11/2014;88,81;07/11/2014;21,57;07/11/2014;74,67;07/11/2014;52,81
10/11/2014;4175,95;17/11/2015;38,69;10/11/2014;63,42;10/11/2014;15,26;10/11/2014;25,15;10/11/2014;33,26;10/11/2014;48,89;10/11/2014;22,68;10/11/2014;71,70;10/11/2014;163,09;10/11/2014;27,21;10/11/2014;17,78;10/11/2014;26,48;10/11/2014;80,51;10/11/2014;44,55;10/11/2014;137,69;10/11/2014;22,63;10/11/2014;41,26;10/11/2014;35,04;12/11/2014;295,69;10/11/2014;47,50;10/11/2014;69,36;10/11/2014;38,83;10/11/2014;43,67;10/11/2014;89,88;10/11/2014;21,75;10/11/2014;74,73;10/11/2014;53,20
11/11/2014;4187,16;18/11/2015;39,41;11/11/2014;63,54;11/11/2014;15,60;11/11/2014;25,15;11/11/2014;33,31;11/11/2014;48,87;11/11/2014;22,81;11/11/2014;71,70;11/11/2014;162,42;11/11/2014;27,43;11/11/2014;17,78;11/11/2014;26,48;11/11/2014;80,19;11/11/2014;44,35;11/11/2014;137,05;11/11/2014;22,54;11/11/2014;41,14;11/11/2014;34,92;13/11/2014;292,89;11/11/2014;47,28;11/11/2014;69,64;11/11/2014;38,87;11/11/2014;43,40;11/11/2014;90,71;11/11/2014;21,69;11/11/2014;74,85;11/11/2014;53,09
12/11/2014;4195,40;19/11/2015;39,65;12/11/2014;63,57;12/11/2014;15,58;12/11/2014;25,11;12/11/2014;33,38;12/11/2014;48,78;12/11/2014;22,75;12/11/2014;71,41;12/11/2014;161,93;12/11/2014;27,81;12/11/2014;17,83;12/11/2014;26,80;12/11/2014;79,73;12/11/2014;44,60;12/11/2014;136,90;12/11/2014;22,49;12/11/2014;41,20;12/11/2014;34,93;14/11/2014;281,33;12/11/2014;47,49;12/11/2014;70,29;12/11/2014;38,93;12/11/2014;43,36;12/11/2014;89,62;12/11/2014;21,69;12/11/2014;75,80;12/11/2014;52,75
13/11/2014;4213,48;20/11/2015;39,99;13/11/2014;64,41;13/11/2014;15,82;13/11/2014;25,68;13/11/2014;33,68;13/11/2014;49,61;13/11/2014;22,88;13/11/2014;71,72;13/11/2014;160,85;13/11/2014;28,21;13/11/2014;17,79;13/11/2014;27,15;13/11/2014;79,44;13/11/2014;44,30;13/11/2014;138,71;13/11/2014;22,62;13/11/2014;41,45;13/11/2014;35,19;17/11/2014;278,56;13/11/2014;47,43;13/11/2014;70,65;13/11/2014;38,95;13/11/2014;42,83;13/11/2014;90,44;13/11/2014;21,45;13/11/2014;76,64;13/11/2014;52,44
14/11/2014;4224,99;23/11/2015;38,46;14/11/2014;64,64;14/11/2014;16,39;14/11/2014;26,32;14/11/2014;33,95;14/11/2014;49,58;14/11/2014;22,88;14/11/2014;71,42;14/11/2014;157,68;14/11/2014;28,55;14/11/2014;17,94;14/11/2014;27,05;14/11/2014;80,33;14/11/2014;44,42;14/11/2014;138,48;14/11/2014;22,82;14/11/2014;41,47;14/11/2014;35,05;18/11/2014;281,45;14/11/2014;47,23;14/11/2014;70,85;14/11/2014;39,06;14/11/2014;43,61;14/11/2014;90,69;14/11/2014;21,68;14/11/2014;76,39;14/11/2014;52,63
17/11/2014;4213,79;24/11/2015;38,72;17/11/2014;65,02;17/11/2014;16,15;17/11/2014;26,47;17/11/2014;34,24;17/11/2014;49,46;17/11/2014;23,07;17/11/2014;69,97;17/11/2014;159,14;17/11/2014;28,50;17/11/2014;17,95;17/11/2014;27,07;17/11/2014;79,02;17/11/2014;44,37;17/11/2014;138,47;17/11/2014;22,48;17/11/2014;41,40;17/11/2014;35,16;19/11/2014;279,66;17/11/2014;47,23;17/11/2014;70,40;17/11/2014;38,92;17/11/2014;43,41;17/11/2014;90,93;17/11/2014;21,83;17/11/2014;76,67;17/11/2014;52,34
18/11/2014;4242,19;25/11/2015;38,83;18/11/2014;67,58;18/11/2014;16,25;18/11/2014;26,60;18/11/2014;34,71;18/11/2014;48,74;18/11/2014;23,31;18/11/2014;70,83;18/11/2014;162,24;18/11/2014;28,87;18/11/2014;18,00;18/11/2014;27,21;18/11/2014;80,71;18/11/2014;44,36;18/11/2014;139,21;18/11/2014;22,68;18/11/2014;42,87;18/11/2014;35,25;20/11/2014;275,50;18/11/2014;47,49;18/11/2014;72,01;18/11/2014;38,79;18/11/2014;44,32;18/11/2014;91,34;18/11/2014;22,01;18/11/2014;76,53;18/11/2014;51,81
19/11/2014;4222,66;27/11/2015;39,16;19/11/2014;74,36;19/11/2014;16,33;19/11/2014;26,59;19/11/2014;34,35;19/11/2014;48,22;19/11/2014;23,12;19/11/2014;70,82;19/11/2014;162,64;19/11/2014;28,67;19/11/2014;17,95;19/11/2014;27,19;19/11/2014;81,01;19/11/2014;44,29;19/11/2014;140,01;19/11/2014;22,59;19/11/2014;43,45;19/11/2014;35,21;21/11/2014;279,60;19/11/2014;47,36;19/11/2014;70,47;19/11/2014;38,91;19/11/2014;44,24;19/11/2014;91,42;19/11/2014;21,58;19/11/2014;76,21;19/11/2014;51,46
20/11/2014;4242,09;30/11/2015;38,77;20/11/2014;71,93;20/11/2014;16,53;20/11/2014;26,81;20/11/2014;35,95;20/11/2014;48,70;20/11/2014;22,95;20/11/2014;70,44;20/11/2014;162,68;20/11/2014;29,08;20/11/2014;17,98;20/11/2014;27,19;20/11/2014;80,70;20/11/2014;44,33;20/11/2014;139,25;20/11/2014;22,63;20/11/2014;43,15;20/11/2014;35,22;24/11/2014;282,54;20/11/2014;47,33;20/11/2014;70,71;20/11/2014;39,10;20/11/2014;44,25;20/11/2014;90,73;20/11/2014;21,62;20/11/2014;76,03;20/11/2014;51,67
21/11/2014;4251,32;01/12/2015;38,69;21/11/2014;73,41;21/11/2014;16,63;21/11/2014;26,88;21/11/2014;35,59;21/11/2014;47,98;21/11/2014;22,90;21/11/2014;71,32;21/11/2014;162,81;21/11/2014;29,12;21/11/2014;17,98;21/11/2014;27,04;21/11/2014;81,52;21/11/2014;44,65;21/11/2014;139,72;21/11/2014;22,86;21/11/2014;43,50;21/11/2014;35,03;25/11/2014;281,30;21/11/2014;47,32;21/11/2014;71,47;21/11/2014;39,88;21/11/2014;44,78;21/11/2014;91,72;21/11/2014;21,89;21/11/2014;76,72;21/11/2014;51,97
